Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
12654,702951.0,CCOC(=O)CC1=CSC(=N1)NC(=O)CCC2=CC=CC=C2,= [ug/mL],41 [ug/mL] (The mean of the results at pH 7.4)
12655,703060.0,C1=CC(=CC=C1NC(=O)C2=C(C=NN2)[N+](=O)[O-])OC(F)(F)F,= [ug/mL],20.2 [ug/mL] (The mean of the results at pH 7.4)
12656,703078.0,CC1=NO[N+](=C1COC2=C(C=C(C=C2)/C=C(\C#N)/C(=O)N)OC)[O-],= [ug/mL],14.6 [ug/mL] (The mean of the results at pH 7.4)
12657,703106.0,CCCC1=C(NC2=NC3=CC=CC=C3N2C1=O)C,= [ug/mL],3.6 [ug/mL] (The mean of the results at pH 7.4)
12658,703114.0,CCC(C)(C)C1CCC2(CC1)NC(=S)N(N2)C3=CC=CC=C3,= [ug/mL],1.6 [ug/mL] (The mean of the results at pH 7.4)
12659,703136.0,CN1CNC(=NC1)NS(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],> [ug/mL],>44.9 [ug/mL] (The mean of the results at pH 7.4)
12660,703140.0,CC1=NC2=C(N1C)C=CC(=C2)NCC3=C(C=CC(=C3)OC)OC,= [ug/mL],37.1 [ug/mL] (The mean of the results at pH 7.4)
12661,703197.0,CC1=C(C(=NN1)C)SC2=CC=CC=C2N,= [ug/mL],21.6 [ug/mL] (The mean of the results at pH 7.4)
12662,703220.0,C1=CC2=CN=C(N2C=C1)C3=C(C=C(C=C3)Cl)Cl,= [ug/mL],22.5 [ug/mL] (The mean of the results at pH 7.4)
12663,703379.0,CC1=NC(=NN1)SCC2=CC=CC=C2,= [ug/mL],14.5 [ug/mL] (The mean of the results at pH 7.4)
12664,703440.0,C1=CC(=CC=C1NC(=O)C2=CC=NC=C2)OCC(C(F)F)(F)F,> [ug/mL],>49.2 [ug/mL] (The mean of the results at pH 7.4)
12665,703458.0,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)F,= [ug/mL],4.4 [ug/mL] (The mean of the results at pH 7.4)
12666,703563.0,CCOC(=O)CC1=CSC(=N1)NC(=O)C2=CC(=CC=C2)Cl,= [ug/mL],6.9 [ug/mL] (The mean of the results at pH 7.4)
12667,703596.0,CCC1(NC2=CC=CC=C2C(=O)N1C3=CC=C(C=C3)OC)CC,= [ug/mL],16.5 [ug/mL] (The mean of the results at pH 7.4)
12668,703600.0,CCC1CCC2(CC1)N(C(=O)CS2)C3=CC=CC=C3,= [ug/mL],5.7 [ug/mL] (The mean of the results at pH 7.4)
12669,703658.0,COC1=CC=C(C=C1)CC(=O)NCCC2=CCCCC2,> [ug/mL],>41 [ug/mL] (The mean of the results at pH 7.4)
12670,703676.0,CC1=CC=C(C=C1)NC(=O)C2=CC3=CC=CC=C3OC2=N,< [ug/mL],<0.3 [ug/mL] (The mean of the results at pH 7.4)
12671,703694.0,CCOC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=NN2C,= [ug/mL],16.7 [ug/mL] (The mean of the results at pH 7.4)
12672,703704.0,COC(=O)C1=CN(C2=CC=CC=C21)C(=O)C3=CC=C(C=C3)Cl,= [ug/mL],1.6 [ug/mL] (The mean of the results at pH 7.4)
12673,703705.0,COC1=C(C=C(C=C1)C(=O)N2C=C(C3=CC=CC=C32)C(=O)OC)OC,= [ug/mL],1.2 [ug/mL] (The mean of the results at pH 7.4)
12674,703709.0,C1CCN(C1)C(=O)COC2=C(C3=CC=CC=C3C=C2)Br,= [ug/mL],45.4 [ug/mL] (The mean of the results at pH 7.4)
12675,703723.0,C1=CC(=CC=C1C2=CSC3=C2C(=S)NC=N3)Cl,= [ug/mL],0.5 [ug/mL] (The mean of the results at pH 7.4)
