Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
27654,2311628.0,CC(=O)N(CC1=CC=CC=C1)C2=CC=CC=C2C(=O)O,> [ug/mL],>40.4 [ug/mL] (The mean of the results at pH 7.4)
27655,2311681.0,C1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)NC(=O)C3=CC=CC=C3Cl,= [ug/mL],6.1 [ug/mL] (The mean of the results at pH 7.4)
27656,2311706.0,CC1=C(N2C=CC=CC2=C1)C(=O)C3=CC=C(C=C3)F,= [ug/mL],0.9 [ug/mL] (The mean of the results at pH 7.4)
27657,2311860.0,CCN(CC)C1=CC=C(C=C1)N=CN2CCOCC2,= [ug/mL],35.9 [ug/mL] (The mean of the results at pH 7.4)
27658,2311880.0,C1CCN(C1)C(=O)/C=C/C2=CC=CS2,> [ug/mL],>31.1 [ug/mL] (The mean of the results at pH 7.4)
27659,2312058.0,C1N(C2=NC3=CC=CC=C3N=C2N1S(=O)(=O)C4=CC=CC=C4)C5=C(C=C(C=C5)F)F,= [ug/mL],3.8 [ug/mL] (The mean of the results at pH 7.4)
27660,2312259.0,CC1=CC=C(C=C1)NC(=O)[C@@H]2CCCN2S(=O)(=O)C3=CC=C(C=C3)Cl,= [ug/mL],14 [ug/mL] (The mean of the results at pH 7.4)
27661,2312302.0,COC1=C(C=CC(=C1)C(=O)NN2C=NN=C2)OC(F)F,= [ug/mL],23 [ug/mL] (The mean of the results at pH 7.4)
27662,2312355.0,CC1=CC2=C(C=C1)N(C(=NC(=O)C3CC3)S2)C,= [ug/mL],15.5 [ug/mL] (The mean of the results at pH 7.4)
27663,2312504.0,C1COCCN1CCCNC(=O)C2=CN(N=C2C3=CC=C(C=C3)F)C4=CC=CC=C4,> [ug/mL],>61.3 [ug/mL] (The mean of the results at pH 7.4)
27664,2312594.0,CCC(C)(C)C1=CC=C(C=C1)OC2=CC=C(C=C2)N,= [ug/mL],4.2 [ug/mL] (The mean of the results at pH 7.4)
