Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
22654,1460019.0,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C3CCCC3,< [ug/mL],<0.4 [ug/mL] (The mean of the results at pH 7.4)
22655,1462250.0,CCCN1C2=CC=CC=C2N=C1N3CCN(CC3)C(=O)/C=C/C(=O)O,> [ug/mL],>51.4 [ug/mL] (The mean of the results at pH 7.4)
22656,1462279.0,CC1=NC2=CC=CC=C2N1C3CCN(CC3)C(=O)NC4=CC=CC=C4,> [ug/mL],>50.2 [ug/mL] (The mean of the results at pH 7.4)
22657,1462684.0,CC(C)(C)C(=O)NC1=NN=C(S1)SCC(=O)NC2CC2,> [ug/mL],>47.2 [ug/mL] (The mean of the results at pH 7.4)
22658,1462685.0,C1CC1NC(=O)CSC2=NN=C(S2)NC(=O)C3=CC=CC=C3F,> [ug/mL],>52.9 [ug/mL] (The mean of the results at pH 7.4)
22659,1462686.0,C1CC1NC(=O)CSC2=NN=C(S2)NC(=O)C3=CC=C(C=C3)F,= [ug/mL],4 [ug/mL] (The mean of the results at pH 7.4)
22660,1462693.0,COC1=CC=C(C=C1)CNC(=O)CSC2=NN=C(S2)NC(=O)C3CC3,= [ug/mL],2.6 [ug/mL] (The mean of the results at pH 7.4)
22661,1462702.0,C1CC1NC(=O)CSC2=NN=C(S2)NC(=O)C3=CC(=CC=C3)F,= [ug/mL],15.1 [ug/mL] (The mean of the results at pH 7.4)
22662,1462703.0,CC(=O)NC1=NN=C(S1)SCC(=O)NC2CC2,> [ug/mL],>40.9 [ug/mL] (The mean of the results at pH 7.4)
22663,1462705.0,CCCC(=O)NC1=NN=C(S1)SCC(=O)NC2CC2,> [ug/mL],>45.1 [ug/mL] (The mean of the results at pH 7.4)
22664,1462733.0,C1=CC=C(C=C1)CC2=NC3=CC=CC=C3C(=O)N2CC#N,> [ug/mL],>41.3 [ug/mL] (The mean of the results at pH 7.4)
