Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
37654,2927676.0,CCC(=O)C1=CC=C(C=C1)OC(=O)N2CCOCC2,> [ug/mL],>39.5 [ug/mL] (The mean of the results at pH 7.4)
37655,2927710.0,CC1CN(CC(O1)C)C(=S)NC2=CC(=CC=C2)F,= [ug/mL],40.2 [ug/mL] (The mean of the results at pH 7.4)
37656,2927755.0,CC(=O)N1C(C(=C(NC1=O)C2=CC=CC=C2)[N+](=O)[O-])C3=CC=CC=C3,= [ug/mL],43.2 [ug/mL] (The mean of the results at pH 7.4)
37657,2927924.0,C1CC(CN(C1)S(=O)(=O)C2=CC=C(C=C2)Cl)C(F)(F)F,= [ug/mL],1 [ug/mL] (The mean of the results at pH 7.4)
37658,2927970.0,CC1=C(C(=O)N(N1)C2=CC=CC=C2)C=NCCC3=CC=CC=C3,= [ug/mL],36.3 [ug/mL] (The mean of the results at pH 7.4)
37659,2927976.0,CC1CN(CC(O1)C)C(=S)NC2=CC=CC=C2,= [ug/mL],35.4 [ug/mL] (The mean of the results at pH 7.4)
37660,2928011.0,C1C=CCC(C1C(=O)NC2=CC(=CC=C2)[N+](=O)[O-])C(=O)O,> [ug/mL],>43.5 [ug/mL] (The mean of the results at pH 7.4)
37661,2928045.0,CC1=CC=CC=C1C(=O)OC2CCCN(C2)C.Cl,= [ug/mL],39.9 [ug/mL] (The mean of the results at pH 7.4)
37662,2928055.0,CC1=NC(=CC=C1)NC2=NC(=CS2)C3=CC(=C(C=C3)F)C,< [ug/mL],<0.2 [ug/mL] (The mean of the results at pH 7.4)
37663,2928101.0,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)N(C)C,> [ug/mL],>46.7 [ug/mL] (The mean of the results at pH 7.4)
37664,2928111.0,CCC(C)C(C(=O)O)NC1=C2C(=CSC2=NC=N1)C3=CC=CC=C3,> [ug/mL],>51.2 [ug/mL] (The mean of the results at pH 7.4)
37665,2928132.0,CC(CN1CCCCC1)OC(=O)COC2=CC=C(C=C2)Cl.Cl,> [ug/mL],>52.2 [ug/mL] (The mean of the results at pH 7.4)
37666,2928197.0,CC1=CC=C(C=C1)C23CC4CC(C2)CC(C4)(C3)C(=O)N,= [ug/mL],16.6 [ug/mL] (The mean of the results at pH 7.4)
37667,2928204.0,CC(CN1CCOCC1)OC(=O)CC2=CC=CC=C2.Cl,= [ug/mL],33.3 [ug/mL] (The mean of the results at pH 7.4)
37668,2928210.0,CC1=CC=C(C=C1)C(=O)OC(C)CN2CCOCC2.Cl,= [ug/mL],38.9 [ug/mL] (The mean of the results at pH 7.4)
37669,2928233.0,CCN(CC)C(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CC=C2,> [ug/mL],>48.8 [ug/mL] (The mean of the results at pH 7.4)
37670,2928268.0,CC(CN1CCCCC1)OC(=O)COC2=CC=C(C=C2)OC,> [ug/mL],>46.1 [ug/mL] (The mean of the results at pH 7.4)
