Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
17654,868477.0,CCOC(=O)N1CCC(CC1)NC2=CC=C(C=C2)F,= [ug/mL],36.3 [ug/mL] (The mean of the results at pH 7.4)
17655,868499.0,CC1=CC(=CC(=C1Cl)C)OCCN2C=CN=C2,= [ug/mL],30.8 [ug/mL] (The mean of the results at pH 7.4)
17656,868517.0,COC1=CC=CC=C1OCCN2C=CN=C2,> [ug/mL],>32.7 [ug/mL] (The mean of the results at pH 7.4)
17657,868561.0,CC1=C(C(=CC=C1)OCCN2C=CN=C2)C,= [ug/mL],22.7 [ug/mL] (The mean of the results at pH 7.4)
17658,868641.0,COC1=CC=CC(=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4CCCC4,= [ug/mL],1.3 [ug/mL] (The mean of the results at pH 7.4)
17659,868642.0,CCOC1=CC=C(C=C1)S(=O)(=O)NC2=NC=CS2,> [ug/mL],>42.7 [ug/mL] (The mean of the results at pH 7.4)
17660,868663.0,C1CCN(CC1)CCNC(=O)C2=C(C=CC(=C2)Cl)Cl,= [ug/mL],39.8 [ug/mL] (The mean of the results at pH 7.4)
17661,868764.0,CCC(CC)C(=O)N1CCN(CC1)C2=CC=CC=C2,> [ug/mL],>39.1 [ug/mL] (The mean of the results at pH 7.4)
17662,868767.0,COC1=CC=CC=C1N2CCN(CC2)C(=O)C3CC3,> [ug/mL],>39.1 [ug/mL] (The mean of the results at pH 7.4)
17663,868821.0,CCOC(=O)C1=C(N=C(S1)NC(=O)C2CCCCC2)C,= [ug/mL],5 [ug/mL] (The mean of the results at pH 7.4)
17664,868873.0,C1CN(CCN1C2=CC=CC=C2)C(=O)CC3=CC=C(C=C3)Cl,= [ug/mL],44.5 [ug/mL] (The mean of the results at pH 7.4)
17665,868938.0,COC1=CC=CC(=C1)NC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=CO4,< [ug/mL],<0.4 [ug/mL] (The mean of the results at pH 7.4)
17666,868972.0,COC1=C(C=C(C=C1)Cl)C(=O)NC2=CC=NC=C2,> [ug/mL],>39.4 [ug/mL] (The mean of the results at pH 7.4)
17667,868992.0,COC(=O)C1=C(C=CS1)NC(=O)C2=C(C=CC=C2Cl)Cl,= [ug/mL],0.7 [ug/mL] (The mean of the results at pH 7.4)
17668,869037.0,CC12CC3(CN(C1)C(N(C2)C3)C4=CC=C(C=C4)Cl)C,= [ug/mL],30.9 [ug/mL] (The mean of the results at pH 7.4)
17669,869045.0,C1CCC(=CC1)CCNC(=O)C2=CC3=CC=CC=C3OC2=O,< [ug/mL],<0.6 [ug/mL] (The mean of the results at pH 7.4)
17670,869117.0,COC1=C(C2=C(CN(C2=O)C3=CC=CC=C3OC)C=C1)OC,> [ug/mL],>44.9 [ug/mL] (The mean of the results at pH 7.4)
17671,869121.0,COC1=CC=C(C=C1)CCNC(=O)C2=CC3=CC=CC=C3OC2=O,< [ug/mL],<0.7 [ug/mL] (The mean of the results at pH 7.4)
17672,869237.0,CC1=CC(=C(C(=C1)Cl)OCCN2CCCC2)C,= [ug/mL],27.8 [ug/mL] (The mean of the results at pH 7.4)
17673,869326.0,COC1=C(C(=CC=C1)OC)OCCN2CCCC2,= [ug/mL],32.4 [ug/mL] (The mean of the results at pH 7.4)
17674,869329.0,CC1=C(C=CC(=C1)OCCN2CCOCC2)Cl,= [ug/mL],25.9 [ug/mL] (The mean of the results at pH 7.4)
17675,869374.0,C1=CC(=CC(=C1)NC(=O)C2=CC=CS2)C(=O)NC3=CC(=CC=C3)O,> [ug/mL],>50.8 [ug/mL] (The mean of the results at pH 7.4)
17676,869403.0,CC1=CC(=C(C(=C1)Cl)OCCN2CCOCC2)C,= [ug/mL],26.6 [ug/mL] (The mean of the results at pH 7.4)
17677,869435.0,CC1=CC(=CC(=C1OCCN2CCCC2)Cl)Cl,= [ug/mL],30.2 [ug/mL] (The mean of the results at pH 7.4)
17678,869487.0,C1CCN(C1)CCOC2=C(C=CC(=C2)Cl)Cl,= [ug/mL],25.4 [ug/mL] (The mean of the results at pH 7.4)
17679,869493.0,CC1=C(C=C(C(=N1)SCC2=CC=CC=N2)C#N)C(=O)C,= [ug/mL],10.2 [ug/mL] (The mean of the results at pH 7.4)
