Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
32654,2732805.0,CN(C)/C=C/1\C(=O)N(C(S1(=O)=O)C2=CN=CC=C2)C3=C(C=C(C=C3)F)F,> [ug/mL],>56.9 [ug/mL] (The mean of the results at pH 7.4)
32655,2732832.0,CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)N2CCOCC2,> [ug/mL],>46 [ug/mL] (The mean of the results at pH 7.4)
32656,2732842.0,C1=CC(=CC=C1NC(=S)NN)OC(F)(F)F,= [ug/mL],22.6 [ug/mL] (The mean of the results at pH 7.4)
32657,2732845.0,C1CCN(CC1)C2=CC=CC=C2OC(=O)NC3=CC=C(C=C3)OC(F)(F)F,= [ug/mL],9.7 [ug/mL] (The mean of the results at pH 7.4)
32658,2732853.0,C1CN=C(SC1)NC2=CC=C(C=C2)OC(F)(F)F,= [ug/mL],41.4 [ug/mL] (The mean of the results at pH 7.4)
32659,2732856.0,COC(=O)C1=CC(=C(C=C1)C(=O)OC)NC(=O)CSCC(=O)O,> [ug/mL],>51.2 [ug/mL] (The mean of the results at pH 7.4)
32660,2732862.0,CC1=CSC2=C1NC(=O)N(C2=O)CCO,> [ug/mL],>33.9 [ug/mL] (The mean of the results at pH 7.4)
32661,2732863.0,C1=CSC2=C1NC(=O)N(C2=O)CCO,> [ug/mL],>31.8 [ug/mL] (The mean of the results at pH 7.4)
32662,2732881.0,C1=CC=C2C(=C1)C(=O)C(C2=O)(NC(=O)C3=CC=C(C=C3)C(F)(F)F)O,> [ug/mL],>52.4 [ug/mL] (The mean of the results at pH 7.4)
32663,2732893.0,CN1C2=NC(=NC=C2C(=O)N(C1=O)C)C3=CC=C(C=C3)C(F)(F)F,< [ug/mL],<0.2 [ug/mL] (The mean of the results at pH 7.4)
32664,2732926.0,C1N2C(=O)C=CN=C2SCO1,> [ug/mL],>25.5 [ug/mL] (The mean of the results at pH 7.4)
32665,2732927.0,CC1=CC(=O)N2COCSC2=N1,> [ug/mL],>27.6 [ug/mL] (The mean of the results at pH 7.4)
32666,2732950.0,CNNC(=S)NCCC1=CCCCC1,= [ug/mL],31.1 [ug/mL] (The mean of the results at pH 7.4)
32667,2732963.0,C1=CC=C(C(=C1)CC(=O)NC2(C(=O)C3=CC=CC=C3C2=O)O)Cl,> [ug/mL],>49.5 [ug/mL] (The mean of the results at pH 7.4)
