Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
979,16191893.0,CC1=C(C=CC(=C1)OC)C(=O)C2CCCN(C2)S(=O)(=O)C(C)C,45.4 [ug/mL] (The mean of the results at pH 7.4),45.4 [ug/mL] (The mean of the results at pH 7.4)
980,16191928.0,CC1=C(C=NN1C)CN2CCC3=C(C2CC(C)C)NC4=CC=CC=C34,37 [ug/mL] (The mean of the results at pH 7.4),37 [ug/mL] (The mean of the results at pH 7.4)
981,16191948.0,CCOC(=O)CCNC(=O)N1CCCC(C1)C(=O)C2=CC=CC=C2SC,>56.8 [ug/mL] (The mean of the results at pH 7.4),>56.8 [ug/mL] (The mean of the results at pH 7.4)
982,16191949.0,CC1=NC(=CC=C1)CC(C)NC(=O)CCC2=NN=C(O2)C3=CC=CC=C3,>52.6 [ug/mL] (The mean of the results at pH 7.4),>52.6 [ug/mL] (The mean of the results at pH 7.4)
983,16191970.0,COC1=CC=CC(=C1)CN2CCN(CC2CCO)CC3=CC=C(C=C3)O,49.2 [ug/mL] (The mean of the results at pH 7.4),49.2 [ug/mL] (The mean of the results at pH 7.4)
984,16192051.0,CC#CC(=O)N1CCC(CC1)(CCC2=CC=CC=C2)CO,41.8 [ug/mL] (The mean of the results at pH 7.4),41.8 [ug/mL] (The mean of the results at pH 7.4)
985,16192065.0,C1C[C@@]23[C@@H](C[C@H](N2C1)C4=CC=CC=N4)CN(C3=O)CC5=CC(=CC=C5)Cl,39 [ug/mL] (The mean of the results at pH 7.4),39 [ug/mL] (The mean of the results at pH 7.4)
986,16192094.0,COC1=CC=CC(=C1)C2CCCN2CC3=NC(=NO3)C4=NC=CN=C4,44.9 [ug/mL] (The mean of the results at pH 7.4),44.9 [ug/mL] (The mean of the results at pH 7.4)
987,16192097.0,CN1CCCC1CN(C)C2=NC3=NON=C3N=C2NCCCOC,43.5 [ug/mL] (The mean of the results at pH 7.4),43.5 [ug/mL] (The mean of the results at pH 7.4)
988,16192099.0,COCCCNC1=NC2=NON=C2N=C1NCCSC,37.1 [ug/mL] (The mean of the results at pH 7.4),37.1 [ug/mL] (The mean of the results at pH 7.4)
989,16192128.0,C1CCC(CC1)NC(=O)CCC2=NN=C(O2)C3=CC=CC=C3,>44.9 [ug/mL] (The mean of the results at pH 7.4),>44.9 [ug/mL] (The mean of the results at pH 7.4)
990,16192153.0,CCOC(=O)C1(CCN(CC1)CC2=CN=C(S2)N(C)C)CC3CC3,46.1 [ug/mL] (The mean of the results at pH 7.4),46.1 [ug/mL] (The mean of the results at pH 7.4)
991,16192306.0,CC1=NC=C(S1)CN2CCC(CC2)(CC3=CC=CC=C3)CO,45.5 [ug/mL] (The mean of the results at pH 7.4),45.5 [ug/mL] (The mean of the results at pH 7.4)
992,16192367.0,COC1=CC(=CC(=C1)CN2CCC(CC2)(CCOC3=CC=CC=C3)CO)OC,52.2 [ug/mL] (The mean of the results at pH 7.4),52.2 [ug/mL] (The mean of the results at pH 7.4)
