Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
52654,5486699.0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)OCCO)C5=CC(=C(C=C5)OCCO)OCCO)O)O)O)O)O)O,1.93e+004 mg/L @ 25 °C (est),
52655,5486793.0,C/C(=N/NC(=O)NC1=CC(=CC(=C1)F)F)/C2=C(C=CC=N2)C(=O)O,"In water, 63 mg/L (pH 5), 5850 mg/L (pH 7), and 10546 mg/L (pH 9)","In water, 63 mg/L (pH 5), 5850 mg/L (pH 7), and 10546 mg/L (pH 9)"
52656,5486830.0,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C(=CC(=O)O)C(=O)O,"In water, 13.4 mg/mL at 25 °C","In water, 13.4 mg/mL at 25 °C"
52657,5486971.0,CC(C)C[C@@H](CC(=O)O)CN,Freely soluble,Freely soluble
52658,5487591.0,CC1(C=CC2=C(O1)C=C(C3=C2N(C4=C(C3=O)C=CC(=C4OC)O)C)O)C,1.741 mg/L @ 25 °C (est),
52659,5487671.0,COC1=CC(=C2C(=C1)OC3=C2C(=O)OC4=C3C=CC(=C4)O)O,143.6 mg/L @ 25 °C (est),
52660,5487772.0,CN1C2=C(C=CC=C2O)C(=O)C3=C1C(=C(C=C3O)OC)OC,66.79 mg/L @ 25 °C (est),
52661,5487855.0,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)OC,513.4 mg/L @ 25 °C (est),
52662,5488120.0,C1=CC=C2C(=C1)C3=CC(=NC(=C3N2)C4=CC=CO4)C(=O)O,2.767 mg/L @ 25 °C (est),
52663,5488548.0,C[C@H]1CN(CC[C@@]1(C)C2=CC(=CC=C2)O)C[C@H](CC3=CC=CC=C3)C(=O)NCC(=O)O,<0.1 mg/mL,<0.1 mg/mL
52664,5488650.0,COC1=CC2=C(C(=C1)OC)C3=C(O2)C4=C(C=C(C=C4)O)OC3=O,39.44 mg/L @ 25 °C (est),
