Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
57654,7120060.0,CCCCN1C(=O)C2=C(C3=CC=CC=C3O2)NC1=O,1.7 [ug/mL] (The mean of the results at pH 7.4),1.7 [ug/mL] (The mean of the results at pH 7.4)
57655,7120751.0,C1=CC(=CC=C1NC(=O)C2=C(SC(=C2)Cl)Cl)[N+](=O)[O-],<0.3 [ug/mL] (The mean of the results at pH 7.4),<0.3 [ug/mL] (The mean of the results at pH 7.4)
57656,7120755.0,C1=CC(=CC=C1NC(=O)C2=C(SC(=C2)Cl)Cl)F,1.9 [ug/mL] (The mean of the results at pH 7.4),1.9 [ug/mL] (The mean of the results at pH 7.4)
57657,7120760.0,CCOC(=O)C1=C(N(C(=NC(=O)/C=C/C2=CC=CC=C2)S1)C)C,<0.4 [ug/mL] (The mean of the results at pH 7.4),<0.4 [ug/mL] (The mean of the results at pH 7.4)
57658,7121685.0,CCC(=O)NC1=C(C=C(S1)[N+](=O)[O-])C(=O)OCC,5.3 [ug/mL] (The mean of the results at pH 7.4),5.3 [ug/mL] (The mean of the results at pH 7.4)
57659,7125851.0,CC(C)CN1C(=O)C2=CC=CC=C2N3C1=NN=C3CCC(=O)O,5.6 [ug/mL] (The mean of the results at pH 7.4),5.6 [ug/mL] (The mean of the results at pH 7.4)
57660,7130757.0,C1CC2=C(N(N=C2C1)C3=CC=CC=C3)N,>29.9 [ug/mL] (The mean of the results at pH 7.4),>29.9 [ug/mL] (The mean of the results at pH 7.4)
57661,7130878.0,CC1=C(C(=NN1)C)S(=O)(=O)N(C)CC2=CC=CO2,38.1 [ug/mL] (The mean of the results at pH 7.4),38.1 [ug/mL] (The mean of the results at pH 7.4)
57662,7130946.0,C1COCCN1S(=O)(=O)C2=CNC(=C2)C(=O)O,>39 [ug/mL] (The mean of the results at pH 7.4),>39 [ug/mL] (The mean of the results at pH 7.4)
57663,7130993.0,C1=CC=C(C=C1)N2C=C(C=N2)/C=C/C(=O)O,25.1 [ug/mL] (The mean of the results at pH 7.4),25.1 [ug/mL] (The mean of the results at pH 7.4)
57664,7130994.0,C1COCCN1S(=O)(=O)C2=CNC(=C2)C(=O)NN,34.2 [ug/mL] (The mean of the results at pH 7.4),34.2 [ug/mL] (The mean of the results at pH 7.4)
57665,7131003.0,CC1=CC=C(C=C1)C2=CN=C(O2)C3=CC=CC=C3C(=O)O,35.2 [ug/mL] (The mean of the results at pH 7.4),35.2 [ug/mL] (The mean of the results at pH 7.4)
57666,7131116.0,C1COCCN1C(=O)C2=C(C3=CC=CC=C3O2)N,>36.9 [ug/mL] (The mean of the results at pH 7.4),>36.9 [ug/mL] (The mean of the results at pH 7.4)
57667,7131495.0,CC1=NOC(=C1)CSC2=CC=CC=C2C(=O)O,>37.4 [ug/mL] (The mean of the results at pH 7.4),>37.4 [ug/mL] (The mean of the results at pH 7.4)
57668,7131529.0,C1=CC=C(C=C1)OC(=O)NC2=NC3=C(S2)C=C(C=C3)F,1.7 [ug/mL] (The mean of the results at pH 7.4),1.7 [ug/mL] (The mean of the results at pH 7.4)
57669,7131550.0,C1CC1NC(=O)C2=CC(=NC3=CC=CC=C32)Cl,>37 [ug/mL] (The mean of the results at pH 7.4),>37 [ug/mL] (The mean of the results at pH 7.4)
57670,7131628.0,CC1=C(C=CC(=N1)C2=CC(=CC=C2)Br)C(=O)O,43.2 [ug/mL] (The mean of the results at pH 7.4),43.2 [ug/mL] (The mean of the results at pH 7.4)
57671,7131654.0,C1CN(CCC1C(=O)O)C(=O)C2=CC=CC3=CC=CC=C32,>42.5 [ug/mL] (The mean of the results at pH 7.4),>42.5 [ug/mL] (The mean of the results at pH 7.4)
57672,7131707.0,C1CCN(C1)S(=O)(=O)C2=CC3=C(C=C2)N(C(=O)O3)CCC(=O)O,>51.1 [ug/mL] (The mean of the results at pH 7.4),>51.1 [ug/mL] (The mean of the results at pH 7.4)
57673,7131895.0,C1CC1NC(=O)C2=CC(=S)NC3=CC=CC=C32,>36.6 [ug/mL] (The mean of the results at pH 7.4),>36.6 [ug/mL] (The mean of the results at pH 7.4)
57674,7132112.0,C1CC(=O)N(C1)C(=O)COC(=O)CSC2=CC=C(C=C2)[N+](=O)[O-],50.3 [ug/mL] (The mean of the results at pH 7.4),50.3 [ug/mL] (The mean of the results at pH 7.4)
57675,7146523.0,COC1=CC=CC(=C1)CNC(=O)COC(=O)C2=CC=C(S2)Cl,1.4 [ug/mL] (The mean of the results at pH 7.4),1.4 [ug/mL] (The mean of the results at pH 7.4)
57676,7146939.0,CC1=C(C(=CC=C1)C)NC(=O)CNC(=O)COC(=O)C2=CC=C(S2)Cl,23.9 [ug/mL] (The mean of the results at pH 7.4),23.9 [ug/mL] (The mean of the results at pH 7.4)
57677,7146966.0,C1CN(N=C1C2=CC=CC=C2)C(=O)COC(=O)C3=CC=C(S3)Cl,2.1 [ug/mL] (The mean of the results at pH 7.4),2.1 [ug/mL] (The mean of the results at pH 7.4)
57678,7150387.0,C1COCCN1C2=C(C=C(C=C2)N3C=CC=C3)[N+](=O)[O-],31.6 [ug/mL] (The mean of the results at pH 7.4),31.6 [ug/mL] (The mean of the results at pH 7.4)
57679,7150640.0,CC1=CC=CC=C1C(=O)OC2=C(C(=O)NC(=C2)C)[N+](=O)[O-],>43.2 [ug/mL] (The mean of the results at pH 7.4),>43.2 [ug/mL] (The mean of the results at pH 7.4)
