Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
42654,3603967.0,CC1=CC(=CC=C1)CSCC2=CC=C(O2)C(=O)NC3CCCC3,= [ug/mL],25.6 [ug/mL] (The mean of the results at pH 7.4)
42655,3604297.0,C1=CC2=C(C=CC(=C2N=C1)OCC3=CN=C(S3)Cl)Cl,= [ug/mL],8.6 [ug/mL] (The mean of the results at pH 7.4)
42656,3604345.0,CC1=NC(=C(NC(C1)C2=CC=C(C=C2)Cl)C#N)C#N,= [ug/mL],15.9 [ug/mL] (The mean of the results at pH 7.4)
42657,3604523.0,COC1=CC=C(C=C1)C(=O)CCC(=O)NC2=CC(=CC=C2)Cl,= [ug/mL],3.4 [ug/mL] (The mean of the results at pH 7.4)
42658,3604544.0,CN1CCN(CC1)C(=O)CNC(=O)C23CC4CC(C2)CC(C4)C3,> [ug/mL],>47.9 [ug/mL] (The mean of the results at pH 7.4)
42659,3604585.0,C1=CC=C(C=C1)CN(CCO)C(=O)C2=NC3=CC=CC=C3C=C2,= [ug/mL],41.4 [ug/mL] (The mean of the results at pH 7.4)
42660,3604804.0,CNC(=S)NNC(=O)C1=CC(=NC2=CC=CC=C21)C3=CN=CC=C3,= [ug/mL],39.7 [ug/mL] (The mean of the results at pH 7.4)
42661,3605090.0,CC1=C(SC=C1)C2C(=C(N(C3=C2C(=O)CCC3)N(C)C)N)C#N,> [ug/mL],>49.3 [ug/mL] (The mean of the results at pH 7.4)
42662,3605146.0,CC1=CC(=C(C=C1)S(=O)(=O)NCC2=CN3C=CC=CC3=N2)C,= [ug/mL],8.9 [ug/mL] (The mean of the results at pH 7.4)
42663,3605230.0,CC1=C(C=C(C=C1)NC(=O)CN2C(=O)C3=CC=CC=C3C(=N2)C(=O)O)S(=O)(=O)N4CCCCC4,= [ug/mL],6.9 [ug/mL] (The mean of the results at pH 7.4)
42664,3605388.0,CC(C)C1=NC(=C(C=C1)CNC(=O)CC(C)C2=CC=CC=C2)SC,= [ug/mL],1.3 [ug/mL] (The mean of the results at pH 7.4)
42665,3605533.0,CC1=CC(=CC=C1)C(=O)NC(=S)NC(C)C2=CC=CC=C2,= [ug/mL],1 [ug/mL] (The mean of the results at pH 7.4)
42666,3605535.0,C1=CC=C(C=C1)CCC(=O)NNC(=O)CCC2=CC=CC=C2,= [ug/mL],2.9 [ug/mL] (The mean of the results at pH 7.4)
42667,3606093.0,CC1=CC=C(C=C1)C2(C(=O)N(C(=O)N2)CC(=O)N3CCC4=CC=CC=C43)C,= [ug/mL],3.6 [ug/mL] (The mean of the results at pH 7.4)
42668,3606465.0,CCC(C)NC(=O)CSC1=NN=C(O1)C2=CNC3=CC=CC=C32,= [ug/mL],23.9 [ug/mL] (The mean of the results at pH 7.4)
42669,3606549.0,CC(CCC1=CC=CC=C1)NC(=O)C2=CC=CC=C2C(=O)O,> [ug/mL],>44.6 [ug/mL] (The mean of the results at pH 7.4)
