Unnamed: 0,CID,SMILES,Solubility,Experiment Solubility-PubChem
47654,4785151.0,C1C2CC3CC1CC(C2)(C3)NC(=O)COC(=O)C4=CC=CC=C4,9.2 [ug/mL] (The mean of the results at pH 7.4),9.2 [ug/mL] (The mean of the results at pH 7.4)
47655,4785176.0,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NCC(=O)NC3=C(C=CC(=C3)Cl)Cl,9.4 [ug/mL] (The mean of the results at pH 7.4),9.4 [ug/mL] (The mean of the results at pH 7.4)
47656,4785180.0,CC1=C(C=C(C=C1OC)C(=O)NC2CCCC3=CC=CC=C23)OC,<0.7 [ug/mL] (The mean of the results at pH 7.4),<0.7 [ug/mL] (The mean of the results at pH 7.4)
47657,4785190.0,CN1C2=CC=CC=C2N=C1SCC(=O)NC3=C(N=CC=C3)Cl,37.9 [ug/mL] (The mean of the results at pH 7.4),37.9 [ug/mL] (The mean of the results at pH 7.4)
47658,4785222.0,CC(C(=O)NC1=NC=C(C=C1)Cl)OC(=O)C2=CC=C(C=C2)C#N,5.4 [ug/mL] (The mean of the results at pH 7.4),5.4 [ug/mL] (The mean of the results at pH 7.4)
47659,4785331.0,CCCCN(C1=C(N(C(=O)NC1=O)CCC)N)C(=O)C2COC3=CC=CC=C3O2,>60.4 [ug/mL] (The mean of the results at pH 7.4),>60.4 [ug/mL] (The mean of the results at pH 7.4)
47660,4785348.0,C1=CC=C(C(=C1)NC(=O)CNC(=O)CC2=CSC=C2)Br,>53 [ug/mL] (The mean of the results at pH 7.4),>53 [ug/mL] (The mean of the results at pH 7.4)
47661,4785409.0,C1=CC=C2C(=C1)C=CC(=N2)C(=O)NCC3=CC=C(C=C3)S(=O)(=O)N,3.9 [ug/mL] (The mean of the results at pH 7.4),3.9 [ug/mL] (The mean of the results at pH 7.4)
47662,4785439.0,CCC1=NC2=CC=CC=C2N1CC(=O)NC3CCS(=O)(=O)C3,>48.2 [ug/mL] (The mean of the results at pH 7.4),>48.2 [ug/mL] (The mean of the results at pH 7.4)
47663,4785456.0,CS(=O)(=O)C1=CC(=C(C=C1)N2C3=CC=CC=C3N=N2)[N+](=O)[O-],27.1 [ug/mL] (The mean of the results at pH 7.4),27.1 [ug/mL] (The mean of the results at pH 7.4)
47664,4785479.0,CC1=C(C(=NO1)C)CSCC(=O)NC2=NN=C(S2)SCC=C,23.5 [ug/mL] (The mean of the results at pH 7.4),23.5 [ug/mL] (The mean of the results at pH 7.4)
47665,4785569.0,CCOC1=C(C=CC=N1)C(=O)NNC(=O)CSC2=CC=C(C=C2)Cl,2.7 [ug/mL] (The mean of the results at pH 7.4),2.7 [ug/mL] (The mean of the results at pH 7.4)
47666,4785627.0,CCN1C2=C(C=C(C=C2)C(=O)N3CCC(CC3)C(=O)OC)N=N1,40.2 [ug/mL] (The mean of the results at pH 7.4),40.2 [ug/mL] (The mean of the results at pH 7.4)
47667,4785645.0,C1CC1NC(=O)CNC(=O)C2=CC=C(C=C2)C(F)(F)F,>42.9 [ug/mL] (The mean of the results at pH 7.4),>42.9 [ug/mL] (The mean of the results at pH 7.4)
47668,4785725.0,CCC1=CC=CC(=C1NC(=O)CCNC(=O)C2=CC=CC(=C2)C)C,>48.7 [ug/mL] (The mean of the results at pH 7.4),>48.7 [ug/mL] (The mean of the results at pH 7.4)
47669,4785769.0,CC1=C(C(=CC=C1)C)NC(=O)CNC(=O)CC2=CC=CC=C2[N+](=O)[O-],18.2 [ug/mL] (The mean of the results at pH 7.4),18.2 [ug/mL] (The mean of the results at pH 7.4)
47670,4785773.0,CC1=C(C(=CC=C1)C)NC(=O)CNC(=O)C2=NC=CN=C2,>42.6 [ug/mL] (The mean of the results at pH 7.4),>42.6 [ug/mL] (The mean of the results at pH 7.4)
47671,4785787.0,C1=CC=C(C=C1)SCCCNC(=O)C2=CC(=C(C=C2)N)[N+](=O)[O-],1.6 [ug/mL] (The mean of the results at pH 7.4),1.6 [ug/mL] (The mean of the results at pH 7.4)
47672,4785801.0,C1CCN(C1)C(=O)CNC(=O)C2=CC=C(C=C2)Br,>46.7 [ug/mL] (The mean of the results at pH 7.4),>46.7 [ug/mL] (The mean of the results at pH 7.4)
47673,4785871.0,COC1=CC(=C(C=C1)OC)N2C(=O)C3=CC=CC=C3N=C2SCC(=O)NCC4CCCO4,>68.3 [ug/mL] (The mean of the results at pH 7.4),>68.3 [ug/mL] (The mean of the results at pH 7.4)
47674,4785962.0,CN(CC1=CC=CC=C1Cl)C(=O)CNC(=O)C23CC4CC(C2)CC(C4)C3,>56.2 [ug/mL] (The mean of the results at pH 7.4),>56.2 [ug/mL] (The mean of the results at pH 7.4)
47675,4785999.0,CC1=C(C=CC(=C1)OCCCC(=O)NCCC2=CC=CC=N2)Cl,>49.9 [ug/mL] (The mean of the results at pH 7.4),>49.9 [ug/mL] (The mean of the results at pH 7.4)
47676,4786000.0,CCOC1=CC=CC=C1C(=O)NC(C(C)C)C(=O)NCCC2=CC=CC=N2,>55.4 [ug/mL] (The mean of the results at pH 7.4),>55.4 [ug/mL] (The mean of the results at pH 7.4)
47677,4786005.0,CC1CN(CCN1C2=CC=CC(=C2)C)C(=O)C3=CC4=NC=CN=C4C=C3,>52 [ug/mL] (The mean of the results at pH 7.4),>52 [ug/mL] (The mean of the results at pH 7.4)
47678,4786016.0,C1COCCN1C(=O)COC2=CC=C(C=C2)C3=NN=CO3,>43.4 [ug/mL] (The mean of the results at pH 7.4),>43.4 [ug/mL] (The mean of the results at pH 7.4)
47679,4786024.0,CN(CC1=CC=C(C=C1)F)C(=O)CN2C(=O)C3=CC=CC=C3S2(=O)=O,49 [ug/mL] (The mean of the results at pH 7.4),49 [ug/mL] (The mean of the results at pH 7.4)
47680,4786160.0,COC1=CC=C(C=C1)C(=O)NCC(=O)NCC2=CC=NC=C2,>44.9 [ug/mL] (The mean of the results at pH 7.4),>44.9 [ug/mL] (The mean of the results at pH 7.4)
47681,4786288.0,C1COC2=CC=CC=C2C1NC(=O)C3=CNC(=O)C=C3,>40.5 [ug/mL] (The mean of the results at pH 7.4),>40.5 [ug/mL] (The mean of the results at pH 7.4)
47682,4786293.0,C1CCC(C1)C(=O)NC2CCOC3=CC=CC=C23,>36.8 [ug/mL] (The mean of the results at pH 7.4),>36.8 [ug/mL] (The mean of the results at pH 7.4)
47683,4786295.0,COC1=CC=CC(=C1OC(=O)CC2=CC=CC=C2F)C(=O)N,>45.5 [ug/mL] (The mean of the results at pH 7.4),>45.5 [ug/mL] (The mean of the results at pH 7.4)
47684,4786344.0,CC1=CC=C(C=C1)NC(=O)CN(C)C(=O)COC2=CC=CC3=C2N=C(C=C3)C,3.9 [ug/mL] (The mean of the results at pH 7.4),3.9 [ug/mL] (The mean of the results at pH 7.4)
47685,4786350.0,COC(=O)C1=CC=C(O1)COC2=NC=NC3=CC=CC=C32,>42.6 [ug/mL] (The mean of the results at pH 7.4),>42.6 [ug/mL] (The mean of the results at pH 7.4)
47686,4786388.0,CN(CC(=O)NCC1=CC=CC=C1OC)CC(=O)NC2=C(C(=C(C=C2)F)F)F,>59.3 [ug/mL] (The mean of the results at pH 7.4),>59.3 [ug/mL] (The mean of the results at pH 7.4)
47687,4786398.0,COC1=CC=CC=C1C(=O)NCCC(=O)NC2CCCCCC2,>47.8 [ug/mL] (The mean of the results at pH 7.4),>47.8 [ug/mL] (The mean of the results at pH 7.4)
47688,4786402.0,CC1=CC=C(C=C1)OC(C)C(=O)OCC(=O)NC2=C(C=CS2)C(=O)N,>54.4 [ug/mL] (The mean of the results at pH 7.4),>54.4 [ug/mL] (The mean of the results at pH 7.4)
47689,4786408.0,C1=CC=C(C=C1)N(CCC#N)C(=O)COC(=O)CSC2=CC=C(C=C2)Cl,56.9 [ug/mL] (The mean of the results at pH 7.4),56.9 [ug/mL] (The mean of the results at pH 7.4)
47690,4786418.0,CSCC1=CC=C(O1)C(=O)OCC2=NC3=CC=CC=C3S2,13.3 [ug/mL] (The mean of the results at pH 7.4),13.3 [ug/mL] (The mean of the results at pH 7.4)
47691,4786420.0,CCN(CC(=O)NC1=CC2=C(C=C1)OCCO2)C(=O)C3=CC=CC=C3Br,>62.9 [ug/mL] (The mean of the results at pH 7.4),>62.9 [ug/mL] (The mean of the results at pH 7.4)
47692,4786473.0,CC1(C(=O)N(C(=O)N1)CC(=O)NC2=CC(=CC=C2)OC)C3CC3,>47.6 [ug/mL] (The mean of the results at pH 7.4),>47.6 [ug/mL] (The mean of the results at pH 7.4)
47693,4786476.0,CC(C(=O)NC1=CN=CC=C1)NS(=O)(=O)C2=CC(=C(C=C2)Cl)Cl,>56.1 [ug/mL] (The mean of the results at pH 7.4),>56.1 [ug/mL] (The mean of the results at pH 7.4)
47694,4786483.0,CSC1=C(C=CC=N1)C(=O)N2CCN(CC2)C(=O)C3=CC=CC=C3,>51.2 [ug/mL] (The mean of the results at pH 7.4),>51.2 [ug/mL] (The mean of the results at pH 7.4)
47695,4786484.0,CN(CC(=O)NC1=CC(=CC=C1)OC)C(=O)C2CC3CC2C=C3,>47.2 [ug/mL] (The mean of the results at pH 7.4),>47.2 [ug/mL] (The mean of the results at pH 7.4)
47696,4786487.0,CN(C)C(CNC(=O)C1CCCN1C(=O)C2=CC=CS2)C3=CC=CC=C3,>55.7 [ug/mL] (The mean of the results at pH 7.4),>55.7 [ug/mL] (The mean of the results at pH 7.4)
47697,4786488.0,CC(=O)NC(CC(=O)N(C)C1CCCCC1)C2=CC=CC=C2,>45.4 [ug/mL] (The mean of the results at pH 7.4),>45.4 [ug/mL] (The mean of the results at pH 7.4)
47698,4786528.0,C1=CC=C2C(=C1)C(=NN2)C(=O)NCC(=O)NC3=C(C=CC(=C3)Cl)Cl,0.7 [ug/mL] (The mean of the results at pH 7.4),0.7 [ug/mL] (The mean of the results at pH 7.4)
47699,4786601.0,CC1=CC(=NO1)C(=O)NC2=CC=CC=C2N3CCOCC3,19.2 [ug/mL] (The mean of the results at pH 7.4),19.2 [ug/mL] (The mean of the results at pH 7.4)
47700,4786642.0,CC1CCCC(C1C)NC(=O)CN2C=C(C=CC2=O)Br,>51.2 [ug/mL] (The mean of the results at pH 7.4),>51.2 [ug/mL] (The mean of the results at pH 7.4)
47701,4786643.0,CC1=CC=C(C=C1)CN(C)C2=NC=C(C=C2)S(=O)(=O)N3CCCC3,12.5 [ug/mL] (The mean of the results at pH 7.4),12.5 [ug/mL] (The mean of the results at pH 7.4)
47702,4786754.0,CC(C#N)SC1=NC=NC2=C1C=C(S2)C3=CC=CC=C3,0.8 [ug/mL] (The mean of the results at pH 7.4),0.8 [ug/mL] (The mean of the results at pH 7.4)
47703,4786776.0,CC1=NC2=C(S1)C=C(C=C2)NC(=O)CCC3CCCC3,8.9 [ug/mL] (The mean of the results at pH 7.4),8.9 [ug/mL] (The mean of the results at pH 7.4)
47704,4786877.0,COC1=CC(=C(C=C1C(=O)NNC(=O)C2=CC=CC=C2N3C=CC=C3)OC)OC,53.2 [ug/mL] (The mean of the results at pH 7.4),53.2 [ug/mL] (The mean of the results at pH 7.4)
47705,4786882.0,CC1=CC(=CC(=C1)NC(=O)CCN2C=CN=C2)C,>36.5 [ug/mL] (The mean of the results at pH 7.4),>36.5 [ug/mL] (The mean of the results at pH 7.4)
47706,4786895.0,CC1CCC2=C(C1)C=C(S2)C(=O)NCCCN3C=CN=C3,35 [ug/mL] (The mean of the results at pH 7.4),35 [ug/mL] (The mean of the results at pH 7.4)
