,SMILES,Unit,sol_final
108,C1=CC=NC=C1,mg/mL,100.0
109,CC1=NC=C(C(=C1O)C=O)CO,mg/mL,100.0
110,C1=CC(=C(C(=C1)O)O)O,mg/mL,100.0
111,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,mg/mL,0.1
112,C1=CC(=C(N=C1)C(=O)O)C(=O)O,mg/mL,0.1
113,CC(CC(=O)O)(C(=O)O)O,mg/L,0.006
114,CNCC(=O)O,ug/mL,0.0056
115,OS(=O)O,mg/mL,558.5
116,C(CCNCCCN)CNCCCN,mg/mL,100.0
117,C(CC(=O)O)C(=O)O,mg/mL,10.0
118,C(CS(=O)(=O)O)N,ug/mL,0.0012
119,C(C(=O)O)S,mg/mL,100.0
120,CC1=C(SC=N1)CCO,mg/L,9.081
121,C[N+](C)(C)[O-],mg/mL,454.0
122,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,mg/L,0.0002
123,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,mg/mL,466.0
124,CC1CCCC2(C1(CCCC2)O)C,mg/L,0.1567
125,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,ug/mL,0.027
126,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,ug/mL,0.0031
127,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3=CC=C(C=C3)S(=O)(=O)O,ug/mL,0.0589
128,C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2,ug/mL,0.0302
129,C1=CC=C2C(=C1)N=NN2N,ug/mL,0.0005
130,C1C(C(C(C(N1)CO)O)O)O,mg/L,0.006
131,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,mg/mL,0.1
132,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,ug/mL,0.0276
133,CCCCCCCCCCCCC(C(=O)O)O,mg/L,0.0178
134,C(CS)O,mg/mL,100.0
135,CC(CC1=CC2=C(C=C1)OCO2)N,mg/L,0.0022
136,CC(CC1=CC2=C(C=C1)OCO2)NC,mg/L,7.034
137,C1=NNC(=N1)N,ug/mL,0.0076
138,C1=CC(=CC(=C1)N)C(=O)N,mg/L,0.0081
139,C(CN)CS(=O)(=O)O,ug/mL,0.0003
140,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,mg/mL,0.1
141,CCCN1C2=C(C(=O)NC1=O)NC=N2,ug/mL,0.0291
142,C(C[N+](=O)[O-])C(=O)O,ug/mL,0.0179
143,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=C(C=C3)Cl,ug/mL,0.0479
144,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,mg/L,0.093
145,COC1=C(C=CC(=C1)CC(=O)O)O,mg/mL,17.0
146,C1=CC(=CC=C1C(=O)NN)O,ug/mL,0.0224
147,C1CC1NC(=O)C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O,ug/mL,0.048
148,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,ug/mL,0.0378
149,CCC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,ug/mL,0.0384
150,C1=CC2=C(C=C1O)C(=CN2)CC(=O)O,ug/mL,0.0287
151,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,ug/mL,0.0327
152,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO,ug/mL,0.0336
153,C1=CC2=C(C(=C1)[N+](=O)[O-])NN=C2,ug/mL,0.0245
154,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3CCCC3,ug/mL,0.0372
155,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,ug/mL,0.0624
156,CC(=O)NC1=C(C=CC(=C1)[As](=O)(O)O)O,ug/mL,0.0413
157,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,ug/mL,0.0333
158,CC(=O)NO,ug/mL,0.0002
159,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2,ug/mL,0.0047
160,CC(=O)NC1=CC=C(C=C1)CC(=O)O,ug/mL,0.029
161,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,mg/L,0.0019
162,CC1=CC2=NC=C(N=C2C=C1C)C3=CC=CC=C3,ug/mL,0.0003
163,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,ug/mL,0.0014
164,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,ug/mL,0.0014
165,CC(C)(C=NOC(=O)NC)SC,mg/mL,0.1
166,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,mg/L,0.005
167,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,mg/L,0.092
168,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,mg/L,0.0131
169,CC(C)NCC(COC1=CC=CC=C1CC=C)O,mg/L,0.0131
170,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,ug/mL,0.0567
171,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4N,ug/mL,0.0484
172,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,ug/mL,0.0348
173,CN1C2=C(C(=O)N(C1=O)C)NC=N2,ug/mL,0.027
174,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,ug/mL,0.0249
175,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,ug/mL,0.0344
176,CC1=CC(=O)N(N1C)C2=CC=CC=C2,ug/mL,0.0252
177,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,ug/mL,0.04
178,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],ug/mL,0.0416
179,C(CCCC(=O)O)CCCC(=O)O,ug/mL,0.0416
180,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,mg/L,0.0024
181,C1=CC=C(C=C1)N=NC2=CC=CC=C2,mg/mL,0.1
182,CC1(OC2=C(O1)C(=CC=C2)OC(=O)NC)C,mg/L,0.26
183,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,ug/mL,0.0632
184,C1=CC=C(C=C1)C(=O)N,ug/mL,0.0182
185,C1=CC=C(C=C1)C(=N)N,ug/mL,0.018
186,CCOC(=O)C1=CC=C(C=C1)N,ug/mL,0.0248
187,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,mg/mL,0.1
188,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,mg/L,0.0096
189,C1COC1=O,mg/mL,10.0
190,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,ug/mL,0.0007
191,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O,ug/mL,0.0007
192,CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,ug/mL,0.0542
193,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,mg/L,0.0022
194,C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,ug/mL,0.0112
195,C(C(CO)([N+](=O)[O-])Br)O,mg/mL,100.0
196,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,mg/L,0.0107
197,CCCCOC1=CC=C(C=C1)CC(=O)NO,ug/mL,0.0335
198,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,ug/mL,0.0547
199,CCCCN(CCCC)CCCOC(=O)C1=CC=C(C=C1)N,ug/mL,0.046
200,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,mg/mL,10.0
201,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,mg/L,0.0014
202,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,ug/mL,0.0354
203,C(CC(=O)O)CNCCC(=O)O,mg/L,0.006
204,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,ug/mL,0.0411
205,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,mg/mL,88.0
206,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O,ug/mL,0.0497
207,CC1OC2(CN3CCC2CC3)CS1,mg/L,0.0041
208,C(C(Cl)(Cl)Cl)(O)O,mg/mL,10.0
209,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,ug/mL,0.0456
210,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,ug/mL,0.0444
211,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2,mg/mL,10.0
212,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,mg/mL,10.0
213,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,ug/mL,0.0415
214,C1=CC2=C(C=C1Cl)NC(=O)O2,ug/mL,0.0254
215,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,mg/L,0.0017
216,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,ug/mL,0.0367
217,COC1=CC2=C(C=CC(=O)O2)C(=C1)OC,mg/L,1.51
218,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl,ug/mL,0.0637
219,C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,ug/mL,0.0008
220,CN1C(=O)CC(=O)N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,ug/mL,0.0008
221,CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,ug/mL,0.0003
222,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,ug/mL,0.0037
223,CCOC(=O)C1C2CCC(N2C)CC1OC(=O)C3=CC=CC=C3,mg/L,0.006
224,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,mg/mL,100.0
225,C1CNP(=O)(OC1)N(CCCl)CCCl,mg/mL,10.0
226,C1=NC(=C2C(=N1)N(C=N2)CC(C(C(=O)O)O)O)N,mg/L,0.0024
227,CN(C)N=NC1=C(NC=N1)C(=O)N,mg/mL,0.1
228,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,ug/mL,0.0372
229,C1C(=O)NC2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3,ug/mL,0.0406
230,C(CC(C(F)F)(C(=O)O)N)CN,mg/L,0.0055
231,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,ug/mL,0.0515
232,C1=CC(=CC=C1C(=C(Cl)Cl)C2=CC=C(C=C2)Cl)Cl,mg/mL,0.1
233,COP(=O)(OC)OC=C(Cl)Cl,mg/mL,10.0
234,CCOC(=O)OC(=O)OCC,mg/L,0.0052
235,CCN(CC)C(=O)N1CCN(CC1)C,mg/L,0.0052
236,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,mg/L,0.0145
237,C(C(CS)S)O,mg/mL,10.0
238,CNC(=O)CSP(=S)(OC)OC,mg/mL,10.0
239,COC(=O)OC(=O)OC,mg/L,0.0048
240,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,ug/mL,0.0107
241,CCN(CC)C(=S)SSC(=S)N(CC)CC,mg/mL,0.1
242,C1C2CC3CC(CC1N3CC2=O)OC(=O)C4=CNC5=CC=CC=C54,mg/L,0.505
243,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,ug/mL,0.0504
244,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,mg/mL,31.0
245,CN(C)CCC=C1C2=CC=CC=C2CSC3=CC=CC=C31,mg/L,0.0015
246,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,ug/mL,0.0334
247,C1CN(CCN1CC(CO)O)C2=CC=CC=C2,ug/mL,0.0354
248,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O,ug/mL,0.0381
249,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,ug/mL,0.0066
250,CC1C(=O)N(C2CSC(C(C(=O)N(C(C(=O)OCC(C(=O)N1)NC(=O)C3=NC4=CC=CC=C4N=C3)C(C)C)C)N(C(=O)C(NC(=O)C(COC(=O)C(N(C2=O)C)C(C)C)NC(=O)C5=NC6=CC=CC=C6N=C5)C)C)SC)C,mg/mL,0.4
251,C1CC1C#CC2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F,ug/mL,0.0196
252,CC1=CC(=NC(=N1)N2C(=CC(=N2)C)OC)OC,ug/mL,0.0351
253,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C,mg/L,0.0029
254,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C(=C4OC5=C(C(=C(C=C35)I)O)I)I)O)I,mg/mL,0.7
255,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4,mg/L,0.0015
256,C1=CN(C(=N1)[N+](=O)[O-])CC(=O)NCCO,mg/mL,100.0
257,CCOCC,mg/mL,100.0
258,C#CC1(CCCCC1)OC(=O)N,mg/mL,100.0
259,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,ug/mL,0.0387
260,C(CN)N,mg/mL,100.0
261,CCC1(CCC2C1(CCC3C2CCC4=CCCCC34)C)O,mg/L,0.0008
262,CCNCC(C1=CC(=CC=C1)O)O,ug/mL,0.0189
263,CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C,mg/L,0.0012
264,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,mg/L,0.0012
265,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3,ug/mL,0.0009
266,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,mg/L,0.0004
267,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,mg/mL,0.74
268,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,ug/mL,0.0349
269,C1=NC(=O)NC(=C1F)N,ug/mL,0.0194
270,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,ug/mL,0.0422
271,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,ug/mL,0.0422
272,CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,ug/mL,0.0422
273,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,mg/L,0.0022
274,CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,mg/L,0.166
275,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,ug/mL,0.0414
276,CC(C)N1C2=CC=CC=C2C(=C1C=CC(CC(CC(=O)O)O)O)C3=CC=C(C=C3)F,mg/L,0.0005
277,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,ug/mL,0.0496
278,C1CCC(CC1)(CC(=O)O)CN,ug/mL,0.0257
279,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,mg/L,0.011
280,C1=CC(=C(C=C1O)C(=O)O)O,mg/mL,5.0
281,CCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O,mg/L,0.0979
282,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,ug/mL,0.0426
283,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,ug/mL,0.0736
284,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,ug/mL,0.0668
285,C(CC=O)CC=O,mg/mL,100.0
286,C(C(=O)O)NCP(=O)(O)O,mg/mL,10.0
287,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,ug/mL,0.0235
288,C(C(F)(F)F)(Cl)Br,mg/mL,0.1
289,CC1=NCCC2=C1NC3=C2C=CC(=C3)OC,ug/mL,0.0306
290,CC1=NCCC2=C1NC3=C2C=CC(=C3)O,mg/L,0.1778
291,C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl,mg/mL,0.1
292,CC(C)C1=CC(=O)C(=CC=C1)O,mg/mL,1.2
293,CC(=O)NCCCCCCNC(=O)C,mg/mL,50.0
294,CCN(CC)CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O,ug/mL,0.0535
295,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,ug/mL,0.0447
296,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,ug/mL,0.0497
297,C(=O)(N)NO,mg/mL,100.0
298,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,mg/mL,193.0
299,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,ug/mL,0.0352
300,C1C(C(OC1N2C=C(C(=O)NC2=O)I)CO)O,mg/mL,0.1
301,C1=CN=CC=C1C2=CNC(=O)C(=C2)N,ug/mL,0.0281
302,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,ug/mL,0.0549
