,SMILES,Unit,sol_final
2453,CC1(CCC(=CC2=CC=C(C=C2)Cl)C1(CN3C=NC=N3)O)C,mg/L,0.0093
2454,CC1=NC2=CC(=C(C=C2N1CCCO)Cl)Cl,ug/mL,0.0339
2455,C1C(=C(C(=O)O1)Cl)C(Cl)Cl,mg/L,0.602
2456,CCCCCC1=C(C(=O)C(=C(O1)C)OC)O,mg/L,0.0405
2457,C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl,ug/mL,0.0317
2458,CNCCC1=CC(=C(C=C1)O)O.Cl,ug/mL,0.0172
2459,C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(O2)C(C9O)O)CO)CO)CO)CO)CO)CO)CO)O)O)O,mg/L,0.006
2460,C1=CC=C(C=C1)N2C(C3=CC=CC=C3C2=O)O,ug/mL,0.0338
2461,CCCCCCCCCCCC(C)CC,mg/L,0.0
2462,CC1=CCC(CC1)C(C)CO,mg/L,0.3117
2463,CC1CCC(CC1O)C(C)C,mg/L,0.2983
2464,C1=CC(=CC(=C1)O)C(C(=O)O)O,mg/mL,31.0
2465,C1SSSSSS1,mg/L,3.34
2466,C1=CN=CC=C1CCCC2=CC=NC=C2,ug/mL,0.0297
2467,CC1=CC(=CC=C1)COC(=O)C,mg/L,0.3728
2468,CC1=CC=CC=C1COC(=O)C,mg/L,0.3728
2469,C1=CC=C(C=C1)C2=NNN=N2,ug/mL,0.0032
2470,CCCC1=NC=CN=C1,mg/L,5.476
2471,C1=CC=C(C=C1)C2=CC(=O)C3=NN=CN3N2,ug/mL,0.0253
2472,CCCCCCC1=CC=CS1,mg/L,0.0048
2473,CCCCCCCCC(OC)OC,mg/L,0.0375
2474,CN1C=C(C2=CC=CC=C21)C=O,ug/mL,0.0239
2475,CCCCNC1=C2C=CC=C3C2=C(C=C1)C(=O)N(C3=O)CCCC,ug/mL,0.0021
2476,CC(CCC=C(C)C)OC(=O)C,mg/L,0.0539
2477,CN1CC(=O)N=C1N.Cl,ug/mL,0.0224
2478,C1=CC2=C(C=C1N)C=NN2,ug/mL,0.0179
2479,C[C@@H]1[C@H](C[C@@H]([C@H](O1)OC2[C@@H]([C@H](C([C@@H]([C@@H]2O)O)O)O)O)N)N=C(C(=O)O)N.Cl,mg/L,0.01
2480,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,mg/L,0.0044
2481,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3,ug/mL,0.0006
2482,CSC[C@H](C(=O)O)N,mg/L,0.0023
2483,CC(=O)CC(C)(C)S,mg/L,0.0011
2484,CC1([C@@H]2C[C@H]1C(=C)[C@H](C2)O)C,mg/L,0.9581
2485,C1=CC=C(C=C1)C2=NN=C(C=C2)Cl,ug/mL,0.0103
2486,CN(C)C1=CC=CC2=C1C(=CC=C2)N(C)C,ug/mL,0.0312
2487,C1=CC=C2C(=C1)N=C(O2)C3=CC=C(C=C3)N,ug/mL,0.0208
2488,CC1=C(C(C(=C(N1)C)C(=O)C)C2=CC=CC=C2)C(=O)C,ug/mL,0.0353
2489,C1=CC=C2C(=C1)C=CN2CCC(=O)N,ug/mL,0.0282
2490,COC1=CC2=C(C(=C1)OC)C(=O)C=C(O2)C3=CC=CC=C3,mg/L,0.0114
2491,CC1=C(C(=NN1C2=CC=CC=C2)C)C=O,ug/mL,0.0231
2492,C[N+](C)(C)CCOC(=O)C=CC1=CC(=C(C(=C1)OC)O)OC,mg/L,6.398
2493,CCC(=O)OC1CC2CCC1(C2(C)C)C,mg/L,0.0075
2494,CCCCCC(CC)OC(=O)CCC,mg/L,0.0126
2495,CC1=CC=CC=C1N2C(=O)C3C4CCC(C3C2=O)O4,ug/mL,0.0386
2496,CCC12CCC3C(C1CCC2(C#C)OC(=O)C)CCC4=CC(=NO)CCC34,mg/L,0.0036
2497,CC(C1=CC=C(C=C1)O)C(=O)C2=C(C=C(C=C2)O)O,mg/L,0.1699
2498,CCCCCCC(C=C)O,mg/L,0.6131
2499,C1=CC=C(C=C1)COC2=CC3=C(C=C2)NC=C3CCN,ug/mL,0.0078
2500,C1=CC=NC(=C1)NCC2=CC=C(C=C2)Cl,ug/mL,0.0258
2501,CC1=CN=C(O1)C,mg/L,9.083
2502,CC1=CC=CC2=NC3=CC=CC=C3C=C12,ug/mL,0.0068
2503,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,ug/mL,0.0788
2504,CC(C)CC(=O)SC,mg/L,3.701
2505,CC(C)CCCCC(=O)O,mg/L,0.5921
2506,CC1CCC2=C(CCC(CC12)C(C)(C)O)C,mg/L,0.0071
2507,CC1=CCC(CC1)C2(CCC(C(O2)(C)C)O)C,mg/L,0.0215
2508,CCCCOC(C)COCC(C)O,ml,0.0
2509,C(CCCN=C(N)N)CCC(=O)N[C@H](C(=O)NCCCCNCCCN)O,mg/mL,100.0
2510,CNC1=CC=CC=C1N.Cl.Cl,mg/mL,100.0
2511,CC1CCC2C1C3C(C3(C)C)CCC2=C,mg/L,0.0001
2512,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O.CS(=O)(=O)O,ug/mL,0.0566
2513,C1=CC=C(C=C1)[C@@H](C#N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,mg/L,0.0027
2514,C1=CC2=C(C(=C1)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C(=O)C4=C([C@@H]2[C@H]5C6=C(C(=CC=C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,mg/L,0.006
2515,C[C@H]1[C@H]2C[C@]2(CC1=O)C(C)C,mg/L,0.4077
2516,C1[C@H](COC2=C1C=CC(=C2)O)C3=CC=C(C=C3)O,mg/L,0.0723
2517,CC(=C)C1CCC2(C(C1)O2)C,mg/L,0.1372
2518,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl.C(CS(=O)(=O)O)S(=O)(=O)O,ug/mL,0.0733
2519,C1C(O1)C(=O)N,mg/L,0.0043
2520,C(CS)[C@@H](C(=O)O)N,mg/mL,148.0
2521,CC1CC(CCC1N)CC2CCC(C(C2)C)N,ml,0.0
2522,C1[C@H](O1)[C@@H]2CO2,mg/mL,100.0
2523,CC1(C2=C(C=C(C=C2)OC)C(=O)N(C1=O)CCC3=CC=C(C=C3)S(=O)(=O)NC(=O)NC4CCCCC4)C,ug/mL,0.0695
2524,CC1=CC=CC=C1C(=O)NCC(=O)O,ug/mL,0.029
2525,CC1C(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)C(C)C,mg/L,0.0001
2526,CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2CCC(F)(F)F,mg/L,0.029
2527,CC(COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3,mg/L,0.0007
2528,CC(C)CCOCCC1=CC=CC=C1,mg/L,0.0135
2529,CC1=CC(=CC2=C1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O,mg/L,0.0038
2530,C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1,mg/L,0.0
2531,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2CC[C@@H]5[C@]3(C4)CC[C@@H](C5(C)C)O)C)C,mg/L,0.0023
2532,C(C(CI)O)O,mg/mL,100.0
2533,C(C[C@@H](C(=O)O)N)CC(=O)O,mg/mL,2.2
2534,C[C@@]1(CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C)O,mg/L,0.0124
2535,C12=C(NC(=O)N=C1NC(=O)N2)N,mg/mL,0.002
2536,C1[C@@H](O1)[C@H]2CO2,mg/mL,100.0
2537,CC1=C[C@H]2[C@H](CC1)C(=C)CC[C@@H]2C(C)C,mg/L,0.0001
2538,CCOC(=O)C1CC(=O)C(=C(C2CC2)O)C(=O)C1,ml,0.0
2539,CC(C)CCOC(=O)C=C(C)C,mg/L,0.0539
2540,CC(COC(C)(C)C)O,mg/mL,100.0
2541,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C.O,mg/L,0.0514
2542,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,mg/L,0.0514
2543,CC1=C(C=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O,mg/mL,128.0
2544,COC(=O)[C@@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,ug/mL,0.0532
2545,CC(C)CC(C(=O)O)O,mg/mL,886.0
2546,CC(C)C12CCC(=O)C1C2,mg/L,1.064
2547,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)CO,mg/L,0.0
2548,CCN(CC)CCOC(=O)C(C1CCCCC1)C2=CC=CC=C2.Cl,ug/mL,0.0531
2549,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H](O[C@@]2(CO)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)CO)O)O)O)O)O,mg/L,0.006
2550,C([C@H](C(=O)O)O)C(=O)O,mg/mL,364.0
2551,CC(=O)NCCCC[C@@H](C(=O)O)N,mg/L,8.346
2552,C([C@H](C(=O)O)N)S,mg/L,0.0011
2553,C(CC(=O)N[C@@H](CCC(=O)O)C(=O)O)[C@@H](C(=O)O)N,mg/L,0.0084
2554,CCOC(=O)C1=CC=CC=C1C(=C2C=C(C(=O)C(=C2)Br)Br)C3=CC(=C(C(=C3)Br)O)Br,mg/L,0.0036
2555,CC(=O)N[C@@H](CCCCN)C(=O)O,mg/L,8.037
2556,CC(CC1=CC=CC=C1)N(C)CC#C.Cl,ug/mL,0.0184
2557,C1CC(CNC1)C(=O)N,ug/mL,0.0192
2558,CC1=CCC(CC1)C(=O)C,mg/L,0.811
2559,C([C@@H](C(=O)O)NC(=O)N)C(=O)O,mg/mL,3.7
2560,CC(C)C1=CC(=C(C=C1)C(C)C)O,mg/L,0.0355
2561,CC(=CCCC1=CCC(CC1)C=O)C,mg/L,0.0043
2562,C[C@H](CC1=CC=CC=C1)NC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,ug/mL,0.0578
2563,CSCSSC,mg/L,1.77
2564,CCCCCCCCCCCCC1=C(C(=O)C2=CC=CC=C2C1=O)OC(=O)C,mg/L,0.0067
2565,CCCCCCCC(C(CC#CC#CC(C=C)O)O)O,mg/L,0.0186
2566,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC,mg/L,0.0002
2567,CC(=O)OCC[N+](C)(C)C.[O-]Cl(=O)(=O)=O,ug/mL,0.0368
2568,CCOCC1=CC=C(C=C1)O,mg/L,8.422
2569,CSCCCCCCCCC#N,mg/L,0.0367
2570,CCCCCCCCCCCCCCCCCC(=O)CC(=O)C1=CC=CC=C1,mg/L,0.0
2571,C[N+](C)(C)C1=CC=CC=C1.[I-],ug/mL,0.0395
2572,CC1=CCCC(C1C=O)(C)C,mg/L,0.1112
2573,C([C@H](C([C@@H](CO)O)O)O)O,mg/mL,729.0
2574,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,mg/mL,0.1
2575,CCCCCCC(C(=O)O)O,mg/mL,927.0
2576,CC(CN(C)C)Cl.Cl,mg/mL,100.0
2577,CC1CCC2=C(C(=O)OC2C1)C,mg/L,1.421
2578,CCCCCCCC(=O)CCC1=CC(=C(C=C1)O)OC,mg/L,0.0038
2579,C1CN(CCN1)CC2=CC3=C(C=C2)OCO3,ug/mL,0.0318
2580,C1=CC=C(C(=C1)C(=O)NC2=NC=NN2)O,ug/mL,0.026
2581,C1CCN(C1)C(=O)OC2=CC=CC=C2,ug/mL,0.0248
2582,C[C@@H]1CC[C@H]([C@@H](C1)OC(=O)C)C(=C)C,mg/L,0.0005
2583,CCCCCCCCCCCCCCCC(=O)CCCCCCCCCCCCCCC,mg/L,0.0042
2584,C1=CC=C2C(=C1)C=CC3=C2N=C(S3)N,ug/mL,0.0274
2585,CCN(CC)CC1=CC(=C(C=C1O)CN(CC)CC)O,ug/mL,0.0421
2586,CCN(CC)S(=O)(=O)C1=CC=C(C=C1)N,ug/mL,0.0342
2587,CC1=C(C=CC(=C1)OC)NC(=O)C,ug/mL,0.0269
2588,COC1=CC(=CC(=C1O)C2=C(C(=CC(=C2)C=O)OC)O)C=O,mg/L,0.2948
2589,CSS(=O)C,mg/L,0.0077
2590,COC1=CC=C(C=C1)C(=O)NCCCN2CCOCC2,ug/mL,0.0418
2591,CC1=CC=C(C=C1)NC(=O)CC(=O)NC2=CC=C(C=C2)C,ug/mL,0.0003
2592,CC1=CC=C(C=C1)C(C)CO,mg/L,1.687
2593,CCCCOC(=O)CC(C(=O)OCCCC)O,mg/L,2.27
2594,CC(C(=O)NCCO)O,mg/L,0.006
2595,C1=CC=C(C=C1)C(=O)NC(CC(=O)O)C(=O)O,mg/L,0.0068
2596,CCC1OC(OC(O1)CC)CC,mg/L,0.8241
2597,C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)O,ug/mL,0.0066
2598,C1=CC=C(C=C1)C2=C(C(=O)NN=C2C3=CC=CC=C3)C#N,ug/mL,0.0172
2599,CC1=CC=C(C=C1)S(=O)(=O)NCC2=CC=CC=C2,ug/mL,0.0259
2600,C1=CC=C(C(=C1)C(=O)NCCNC(=O)C2=CC=CC=C2O)O,ug/mL,0.0323
2601,CCCCNC1=CC=C(C=C1)C(=O)O,ug/mL,0.029
2602,CCCCCOC(=O)CC(C)C,mg/L,0.0386
2603,COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)OC,mg/L,0.0155
2604,C1=CC=C(C(=C1)[N+](=O)[O-])O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O,ug/mL,0.0452
2605,CC1=CC2=C(C3=C1OC(C=C3)(C)C)NC4=CC=CC=C42,mg/L,0.0
2606,C1C2=CC=CC=C2C(=O)N1C3=CC=CC=C3,ug/mL,0.0124
2607,COC1=C(C(=C(C(=C1)C(=O)O)[N+](=O)[O-])OC)OC,ug/mL,0.0386
2608,C1=CC(=CC=C1C2C(=O)NC(=O)N2)Cl,ug/mL,0.0316
2609,C1CCN(CC1)C2=NC=C(C=C2)[N+](=O)[O-],ug/mL,0.0292
2610,C1=CC2=NC(=C(C(=O)N2C=C1)C=O)Cl,ug/mL,0.0313
2611,CC1=CC(=O)N(C2=CC=CC=C12)C,ug/mL,0.026
2612,CC1=C2C=CC3=CC=CC=C3C2=NC=C1,ug/mL,0.0004
2613,CNC1=C(C=C(C=C1)Cl)C(=O)N,ug/mL,0.0277
2614,C1=CC(=CC=C1CN)O,mg/L,0.006
2615,CC(=O)NC(CC(=O)O)C(=O)O,ug/mL,0.0263
2616,CN1C=C2C=C(C=CC2=N1)[N+](=O)[O-],ug/mL,0.0248
2617,CCOC(=O)C1CCCNC1=O,ug/mL,0.0257
2618,CCOP(=O)(C(C1=CC(=CC=C1)[N+](=O)[O-])O)OCC,ug/mL,0.0392
2619,CCOC(C)OC(=O)C,mg/L,0.0033
2620,C1CNCCC1(CC2=CC=CC=C2)O,ug/mL,0.0287
2621,CC1CN(NC1=O)C2=CC=CC=C2,ug/mL,0.019
2622,CC1CCOC1=O,mg/L,0.0094
2623,COC1=CC(=O)OC(C1)CCC2=CC=CC=C2,mg/L,1.154
2624,CC1CC(=O)OC1,mg/L,0.0094
2625,CCCCCOC(=O)CC1=CC=CC=C1,mg/L,0.0143
2626,CC1=CCC(C1(C)C)CC=O,mg/L,0.1112
2627,CSC1=NC(=CN=N1)C2=CC=CC=C2,ug/mL,0.0126
2628,CCOC1=CC=C(C=C1)N2C(=O)CSC2=S,ug/mL,0.0005
2629,COC(=O)C1CC(=O)N(C1)CC2=CC=CC=C2,ug/mL,0.035
2630,CC[C@@H](C)[C@@H](C(=O)O)N,mg/mL,34.4
2631,C1C(=O)N(C(=S)S1)C2=CC(=C(C=C2)Cl)Cl,ug/mL,0.0006
2632,CCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C,mg/L,0.0074
2633,C1C(=O)N(C(=S)S1)C2=CC(=CC=C2)Cl,ug/mL,0.0007
2634,CC(C)C1=CC=C(C=C1)N2CC3=C(C=CC(=C3)C(C)C)N=C2,ug/mL,0.0028
2635,CCN1CN(C(=S)SC1)CC2=CC=CC=C2,ug/mL,0.0375
2636,C1N=C(NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,mg/mL,100.0
2637,C1CC2=CC=CC=C2C3(C1)C(=O)NC(=O)N3,ug/mL,0.0306
2638,CC(C)C(C(=O)O)O,mg/mL,350.0
2639,COC1=C(C=CC(=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)O)OC)O)O,mg/L,2.515
2640,COC1=CC(=CC(=C1O)OC)C2C3COC(C3CO2)C4=CC(=C(C(=C4)OC)O)OC,mg/L,0.0884
2641,C1CC(N(C1)C(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24)C(=O)O,ug/mL,0.0506
2642,CC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC2=CC=CC=C2)C(=O)O,ug/mL,0.0524
2643,C1=CC2=C(C(=C1)Cl)C(=CN2)CC(=O)O,mg/L,1.456
2644,CC1=CC(=CC(=C1C(=O)OC2=C(C(=C(C(=C2)CO)CO)O)CC=C(C)C)O)O,mg/L,0.0027
2645,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)NC3=CC=CC=N3,ug/mL,0.012
2646,C1C(S1)CCC#N,mg/L,0.0014
2647,C(CCCOS(=O)(=O)N)CCCOS(=O)(=O)N,mg/mL,3.6
2648,CC(=O)CCC(=O)C1=COC=C1,mg/L,0.0026
2649,COC1=CC2=C(C=C1C3=COC4=C(C3=O)C=C5C=COC5=C4)OCO2,mg/L,0.002
2650,C1=CC(=NN=C1NN)Cl,ug/mL,0.0101
2651,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=CC=CC=N4,ug/mL,0.0321
2652,CC1=NC=CN=C1SCC2=CC=CO2,mg/L,0.1981
2653,CC1=CN=CC(=N1)SCC2=CC=CO2,mg/L,1.579
2654,CC1(CCCC(C1=O)(C)O)C,mg/L,6.304
2655,CC1CC(=CC(C1C=O)C)C,mg/L,0.106
2656,C[C@@H](CCC=C(C)C)[C@@H]1CC[C@]2([C@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,mg/L,0.0041
2657,COC1=CC2=C(C=C1C3=CC4=C(C=C5C(=C4)C=CO5)OC3=O)OCO2,mg/L,0.0031
2658,C1=CC=C(C=C1)CN(CC2=CC=CC=C2)C(=O)C3=CC=CC=C3,ug/mL,0.0008
2659,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NCC(=O)O,ug/mL,0.0404
2660,COC1=CC(=O)C(=CC1=O)OC,mg/L,0.0088
2661,C1=CC=C(C=C1)NC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,ug/mL,0.0515
2662,CC1=CC=CC=C1NC(=O)CCl,ug/mL,0.0262
2663,CN1[C@@H](CCC[C@@H]1CC(=O)C2=CC=CC=C2)C[C@@H](C3=CC=CC=C3)O.Cl,ug/mL,0.0561
2664,CC(CCC(=O)C(C)C1C(=O)CC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)CO,mg/L,0.0017
2665,CC1=CC2C(CC1)C(=CCC2C(C)C)C,mg/L,0.0001
2666,CCC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,mg/mL,0.7
2667,CC1CCC2C1C3C(C3(C)C)CCC2(C)O,mg/L,0.012
2668,C(C(C(C(C(C(CO)O)O)O)O)O)O,mg/mL,64.6
2669,CC(=CCCC1=CCC(CC1)C(=C)CCC=C(C)C)C,mg/L,0.0046
2670,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)CO)C)C)(C)C)O,mg/L,0.0
2671,C[C@H](CCC=C(C)C)CCO,mg/L,0.1055
2672,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CC[C@@H]4[C@@]3(CC[C@H](C4)O)C,mg/L,0.0036
2673,CC(C)OP(=O)(C)Cl,mg/L,0.01
2674,CCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C,mg/L,0.0078
2675,CCCCCCCCCCCCCCCCCCCCCCC(C(=O)O)O,mg/L,0.0
2676,C1=CC(=CC=C1C(CN)O)O.Cl,ug/mL,0.0284
2677,CC(CCCC(=O)C)CCC=C(C)C,mg/L,0.0073
2678,CCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCC,mg/L,0.0048
2679,CC1CCC(C(C1)OC)C(C)C,mg/L,0.0201
2680,CC1(C2CC1C(=C)C(C2)O)C,mg/L,0.9581
2681,CCCCC(CC)C(=O)OCC,mg/L,0.0386
2682,CC1C(OC(O1)C)C,mg/L,0.0016
2683,CC1C2CCC(N1)CCCCCCCC(=O)OC3CCC(CCCCCCCC(=O)O2)NC3C,mg/L,0.0
2684,CC1=NC2=C(C=C1)C=C(C=C2)N,ug/mL,0.0237
2685,CC(C)CCCCCOP(=O)(O)OCCCCCC(C)C,mg/L,0.0059
2686,CC(C(=O)C)SC,mg/L,0.006
2687,CC(=O)C1=CC(=CC(=C1)O)O,mg/L,0.0069
2688,CCCCN(CCC(=O)OCC)C(=O)C,mg/L,0.007
2689,CCOC1=NC(=CN=C1)C,mg/L,1.824
2690,C1N(CN(CN1CCO)CCO)CCO,ml,0.01
2691,CC1=CN=C(C(=N1)C)C(=O)C,mg/L,0.0019
2692,CC1=CN=C(C(=N1)C(=O)C)C,mg/L,0.0019
2693,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,mg/L,0.0095
2694,CCOP(=O)(C(C)NC(=O)N(CCCl)N=O)OCC,mg/L,2.6
2695,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.O.O.O.[Cl-],mg/mL,100.0
2696,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,ml,0.001
2697,C[N+]1(CCC2=CC3=C(C=C2[C@H]1[C@H]4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3)C.[I-],ug/mL,0.0764
2698,O.O.O.O.O.O.Cl[Cr](Cl)Cl,ml,0.0
2699,CC1CCC2C(C(OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O)C,mg/L,0.0562
2700,OS(=O)(=O)O.[Fe],mg/mL,100.0
2701,CCOC(=O)C1=NC=C2C(=C1)C3=CC=CC=C3N2,ug/mL,0.0075
2702,CCOC1=NC=C(N=C1)C,mg/L,1.824
2703,CCCCCCC1C(CC(=O)O1)C,mg/L,0.1482
2704,CC(=CCC(C)(C)C(OC)OC)C,mg/L,0.066
2705,C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)O)O)O)O,mg/L,0.006
2706,CC1CCC(CC2=C1CCC2C)C(=C)C,mg/L,0.0
2707,CC1(CCCC2(C1CCC3(C2CCO3)C)C)C,mg/L,0.0024
2708,CC1C(=O)NCC(=O)N1,mg/mL,250.0
2709,CC1=CCC2(CC1)C(O2)(C)C,mg/L,0.0944
2710,CC1CC(CC1=O)(C)C,mg/L,2.166
2711,CC1CC(OC(O1)C)(C)C2=CC=CC=C2,mg/L,0.0903
2712,CC(=O)NC1=NC(=O)N(C=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O,mg/L,0.006
2713,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O.Cl,ug/mL,0.0396
2714,C1=CC=C2C=C(C=CC2=C1)NC(=O)[C@H](CC3=CC=C(C=C3)O)N,ug/mL,0.046
2715,CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,mg/L,0.01
2716,CCOC(=O)NC1=CC2=C(CCC3=CC=CC=C3N2C(=O)CN(C)C)C=C1.Cl,ug/mL,0.0577
2717,CCC(CC(=O)O)O,mg/L,0.0078
2718,C1CNCC2=C1C3=CC=CC=C3N2,ug/mL,0.0258
2719,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,mg/L,0.0369
2720,COC1=CC=CC2=C1N=C3C(=C2OC)C=CO3,mg/L,0.0088
2721,COC1=CC=CC=C1N2CCN(CC2)CCCCN3C(=O)C4=CC=CC=C4C3=O.Br,ug/mL,0.0712
2722,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,mg/L,3.198
2723,CC(C)CCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,mg/L,0.0028
2724,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CC(C(C5(C)CO)O)O)C)C)C2C1C)C)C(=O)OC6C(C(C(C(O6)COC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)O)O)O)O,mg/L,0.0011
2725,COC1=C2C(=C3C(=C1)C=CC(=O)O3)C=CO2,mg/L,0.0054
2726,CN1C2=C(C(=O)NC(=O)N2)NC1=O,mg/mL,0.021
2727,CC1=C(C=CO1)SC(=O)C,mg/L,1.122
2728,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N.Cl.Cl,mg/mL,10.0
2729,CC1COC(O1)C2=CC(=C(C=C2)O)OC,mg/L,4.549
2730,CCOC1=C(C=CC(=C1)C2OCC(O2)C)O,mg/L,1.46
2731,CC(CCC=C(C)C)CCOC(=O)C1=CC=CC=C1N,mg/L,0.0001
2732,CCC(=O)OC1=C(OC=CC1=O)C,mg/L,4.348
2733,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36,ug/mL,0.0032
2734,CC1=CC=C2C(CCCC2(O1)C)(C)C,mg/L,0.009
2735,CN(C)CCC(C1=CC=CC=C1)O,ug/mL,0.0133
2736,CC(C)CCCC(C)CC=O,mg/L,0.013
