Molecular_Weight,SMILES,sol_final,LogS
202.553,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,0.0138,-4.166659593474812
98.96,C(CCl)Cl,7.5,-1.1203984232293642
102.08899999999998,CCC(=O)C(=O)O,119.0,0.06656801163337137
130.143,CC(C)CC(=O)C(=O)O,32.0,-0.609270835361386
132.119,C(CNC(=O)N)C(=O)O,20.9,-0.8008189917744635
103.121,C(CC(=O)O)CN,0.0012,-4.934165869821928
124.13899999999995,C1=CC(=CC=C1CO)O,6.7,-1.2678334399094415
152.149,C1=CC(=CC=C1CC(=O)O)O,60.7,-0.3990804112258353
131.13099999999997,C(CC(=O)O)C(=O)CN,0.0186,-3.8481924289171667
117.14799999999998,C(CCN)CC(=O)O,1000.0,0.9312651214620523
44.053,CC=O,0.55,-1.9036127996234404
261.283,CCOP(=S)(OCC)OC1=CC=C(C=C1)N,0.39,-2.826046546878517
18.039,[NH4+],10.2,-0.2476122868032441
108.13999999999996,C1=CC=C(C=C1)CO,30.0,-0.5568651105199433
118.15599999999998,C[N+](C)(C)CC(=O)O,611.0,0.7135854300995625
79.904,[Br-],35.0,-0.3585004763209781
35.453,[Cl-],6.3,-0.7503124412169779
148.20499999999996,CC(C)C1=CC=C(C=C1)C=O,0.282,-2.720613747387238
108.13999999999996,CC1=CC(=CC=C1)O,30.0,-0.5568651105199433
126.11099999999998,C1=C(C=C(C=C1O)O)O,10.6,-1.0754471041865676
178.235,C[N+]1(CCCC1C2=CN=CC=C2)[O-],1000.0,0.7490070095341211
128.215,CCCCCCCC=O,0.56,-2.359750809691026
137.16199999999998,C[N+]1=CC=CC(=C1)C(=O)N,855.0,0.794732305661825
179.17499999999995,C1=CC=C(C=C1)C(=O)NCC(=O)O,3.75,-1.679246145413859
58.08,CCC=O,75.0,0.11103465569966278
131.17499999999998,C(CCC(=O)O)CCN,0.0009,-5.163608563431052
113.12,CN1CC(=O)N=C1N,80.1,-0.1499068803685866
90.078,C(C(=O)CO)O,930.0,1.0138642135711575
90.078,C(C(C=O)O)O,17.0,-0.7241698136045036
117.10800000000002,C(C(=O)O)N=C(N)N,3.6,-1.5122840632818537
62.02400000000001,C(=O)(O)O,12.8,-0.6853498013135827
111.148,C1=C(NC=N1)CCN,0.0141,-3.896682539743746
168.148,C1=CC(=C(C=C1O)CC(=O)O)O,850.0,0.7037272196546548
110.11199999999997,C1=CC(=CC=C1O)O,30.0,-0.5647133962211736
131.17499999999995,CCC(C)C(C(=O)O)N,21.4,-0.7874372995211856
197.19,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,3.6,-1.738582386232743
129.159,C1CCNC(C1)C(=O)O,314.0,0.38580497419451354
149.215,CSCCC(C(=O)O)N,32.7,-0.6592647305955539
122.12699999999998,C1=CC(=CN=C1)C(=O)N,0.0028,-4.6396536576208565
28.014,N#N,18.1,-0.1896965494452649
132.071,C(C(=O)C(=O)O)C(=O)O,134.0,0.006297332170578577
90.03399999999999,C(=O)(C(=O)O)O,75.0,-0.07934528186930577
31.998,O=O,0.039,-2.9140582270400213
94.11299999999996,C1=CC=C(C=C1)O,75.0,-0.09858835406650797
164.15999999999997,C1=CC=C(C=C1)CC(=O)C(=O)O,112.0,-0.16604932076154053
136.14999999999998,C1=CC=C(C=C1)CC(=O)O,17.3,-0.8959715425471878
137.182,C1=CC=C(C=C1)C(CN)O,45.8,-0.4764316522187893
141.06299999999996,C(COP(=O)(O)O)N,72.0,-0.29208061935685037
120.115,C1=C2C(=NC=N1)N=CN2,500.0,0.6193727587112114
168.19599999999997,CC1=NC=C(C(=C1O)CN)CO,815.0,0.6853419454504023
89.09399999999998,CNCC(=O)O,0.0056,-4.201660430626279
82.07999999999998,OS(=O)O,558.5,0.8327858296838869
118.08799999999998,C(CC(=O)O)C(=O)O,7.5,-1.1971445038359583
125.149,C(CS(=O)(=O)O)N,0.0012,-5.018246137691127
75.11099999999999,C[N+](C)(C)[O-],454.0,0.7813523088027265
192.123,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,466.0,0.3848065571632516
304.3940000000001,CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCCC3,0.0031,-4.9920743938418815
212.174,C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2,0.0302,-3.8466852210174722
134.142,C1=CC=C2C(=C1)N=NN2N,0.0005,-5.428594772862357
84.08200000000001,C1=NNC(=N1)N,0.0076,-4.0438894411227615
182.175,COC1=C(C=CC(=C1)CC(=O)O)O,17.0,-1.0300398568185567
152.15299999999996,C1=CC(=CC=C1C(=O)NN)O,0.0224,-3.832032501426741
195.221,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2,0.0047,-4.618428675136613
265.338,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,0.0014,-5.277671415617757
190.268,CC(C)(C=NOC(=O)NC)SC,0.55,-2.5390030636271628
355.8690000000001,CCN(CC)CC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,0.0249,-4.155090810856653
313.788,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,0.0344,-3.960077888542255
188.23000000000005,CC1=CC(=O)N(N1C)C2=CC=CC=C2,0.0252,-3.8732883014560144
149.218,C1=CC=C(C=C1)CN=C=S,0.109,-3.136394716812375
72.06299999999999,C1COC1=O,30.0,-0.3805910832268325
310.40000000000003,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,0.0007,-5.646823672571894
