,SMILES,CID,Solubility1,Unit,Molecular_Weight,pubchem_sol_gl,Lit_gram_liter,Error_gl_in_%
349,CC1CC=C(C(C1(C)C)/C=C/C(=O)C)C,5371002.0,110 mg/L @ 20 °C (exp),mg/L,206.329,0.11,0.032500283497936565,238.45858608274563
50,COP(=O)(OC)OC=C(Cl)Cl,3039.0,"10 to 50 mg/mL at 68 °F (NTP, 1992)",mg/mL,220.976,30.0,8.620047737192392,248.0259148747035
255,C1=CC=C(C=C1)F,10008.0,"1 to 10 mg/mL at 68 °F (NTP, 1992)",mg/mL,96.10399999999998,5.5,1.5231457536828281,261.0947925831457
306,CCCCCCC(C(=O)O)N,69522.0,19 mg/mL,mg/mL,159.22899999999998,19.0,4.5139999988284645,320.9127161039243
274,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)NC(C)(C)C)CC[C@@H]4[C@@]3(C=CC(=O)N4)C,57363.0,52.8 [ug/mL] (The mean of the results at pH 7.4),ug/mL,372.5530000000001,0.0528,0.011679999681233861,352.05480685785665
70,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,4011.0,38.6 [ug/mL] (The mean of the results at pH 7.4),ug/mL,277.41100000000006,0.0386,0.007617845947846457,406.7049171677213
100,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(=O)C4=CC=C(C=C4)F,5265.0,50.1 [ug/mL] (The mean of the results at pH 7.4),ug/mL,395.4780000000002,0.0501,0.008440999998413546,493.5315722001671
44,C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,2378.0,0.7 [ug/mL] (The mean of the results at pH 7.4),ug/mL,310.40000000000003,0.0007,0.0001095000036332411,539.2693851815543
86,C1=CC=C(C=C1)CCCC(=O)O,4775.0,18 mg/mL,mg/mL,164.20399999999998,18.0,2.7251080854887717,560.5242594174588
55,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,3168.0,33.4 [ug/mL] (The mean of the results at pH 7.4),ug/mL,379.43500000000006,0.0334,0.004206000004077998,694.1036606661072
