Molecular_Weight,SMILES,sol_final,LogS
342.874,CN(C)CCCNC1=NC(=NC2=CC=CC=C21)C3=CC=CC=C3.Cl,0.0441,-3.8906959645166315
312.8,CC1=NC2=CC=CC=C2C(=C1)NC3=CC=CC(=C3)C(=O)C.Cl,0.0278,-4.051221948469734
326.82700000000006,CC1=CC2=C(C=C(N=C2C=C1)C)NC3=CC=CC(=C3)C(=O)C.Cl,0.0469,-3.843145084786185
310.8279999999999,CC1=CC(=CC=C1)NC2=C3CCCC3=NC4=CC=CC=C42.Cl,0.0449,-3.8402737929922437
310.8279999999999,CC1=CC=C(C=C1)NC2=C3CCCC3=NC4=CC=CC=C42.Cl,0.0334,-3.9687736671840024
329.787,CC1=C2C(=CC=C1)C(=CC(=N2)C)NC3=CC(=CC=C3)[N+](=O)[O-].Cl,0.0055,-4.777870842531233
322.795,C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NC4=CC(=CC=C4)O.Cl,0.0007,-5.663828758993561
273.723,C1=CC=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)O.Cl,0.0137,-4.300590724054999
354.88500000000016,CC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=N2)N4CCN(CC4)C.Cl,0.049,-3.8598915632894943
369.8960000000001,CC1=C2C(=CC=C1)C(=CC(=N2)C)NC3=CC=C(C=C3)N4CCOCC4.Cl,0.055,-3.8277169454509954
275.714,C1=CC=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)F.Cl,0.0368,-3.874611000273671
345.708,C1=CC(=CC(=C1)C(F)(F)F)C(=O)NNC(=O)C2=CC=NC=C2.Cl,0.0418,-3.9175331478560467
283.1939999999999,C1CC2=C(C3=CC=CC=C31)N=C(S2)N.Br,0.0403,-3.846779001624873
379.641,C1=CC=C2C(=C1)C=CC=[N+]2CC3=C(C=CC(=C3)[N+](=O)[O-])Cl.[Br-],0.0569,-3.8242608422922815
307.19100000000003,CC1=CN=C(C=[N+]1CC(=O)C2=CC=CC=C2)C.[Br-],0.027,-4.056044723542955
356.26300000000003,CC1=CC=C(C=C1)C(=O)C[N+]2=CC=CC3=C2C=CC(=C3)C.[Br-],0.0438,-3.9102966101623076
